smiles,RF_homo,XGB_homo,RF_lumo,XGB_lumo,RF_gap,XGB_gap,score,rank
CP(=O)(O)O.c1ccccc1,-7.372834333333309,-7.1806273,0.7669019999999973,0.6439248,8.116984333333342,8.106671,1.273335897334358,73
COS(=O)(=O)OC.C[P+](C)C,-7.842994333333318,-6.955927,0.5669463333333313,0.20983271,8.581245000000006,8.299023,1.2727322075920613,74
COS(=O)(=O)OC.CP(C)C,-7.8390943333333185,-6.955927,0.5527363333333315,0.20983271,8.583925000000006,8.299023,1.2717217075920617,75
CCOC(=O)OCC.C[P+](C)C,-7.823047666666646,-7.0700684,0.3111616666666669,0.5190769,8.078857999999999,8.822972,1.2709344381963756,76
CCC(=O)OC.CP(=O)(O)O,-7.45005733333332,-7.1018524,0.5566366666666653,0.3460909,8.101291000000005,8.485789,1.2700387341762571,77
CCOC(=O)OCC.CP(C)C,-7.828947666666647,-7.0700684,0.2977090000000002,0.5162739,8.088677999999998,8.822972,1.269575092992595,78
CCOC(=O)OC.O=[PH](O)O,-7.744015666666657,-7.2358484,0.4482833333333324,0.58519095,8.256909666666663,8.536696,1.2667627488883348,79
C1CCNCC1.O=[PH](O)O,-7.422225333333317,-7.2052784,0.5626133333333325,0.7000876,7.941859999999996,8.407605,1.2651726157857914,80
CCCOC(C)=O.O[PH](O)=S,-7.49331066666665,-7.167201,0.4710399999999987,0.38946593,8.002268333333323,8.665569,1.263566660636012,81
C[PH](C)=O.O=C1CCCN1,-7.573585999999999,-7.104768,0.34689399999999987,0.34031782,8.155142999999997,8.652579,1.2628731639359465,82
CN(C)[PH](=N)N(C)C.N#CC1CO1,-7.702137666666657,-7.7626934,0.4356799999999987,1.1633503,8.268381333333345,8.418386,1.2574834493197162,83
COS(=O)(=O)OC.O[PH](O)=S,-7.727044999999983,-6.825381,0.79556333333333,0.31222606,8.569035666666673,7.8002806,1.2571677857648247,84
CCOC(=O)CP(=O)(O)O,-7.7032116666666575,-8.306843,0.6409499999999987,1.0691608,8.358673000000008,8.648044,1.2563517787662541,85
CCOC.CP(=O)(O)O,-7.456058333333295,-7.5579786,0.611276666666666,0.35306835,8.24592166666667,8.558947,1.2535198634847067,86
CCOC(=O)OCP(=O)(O)O,-7.6369716666666525,-7.7869825,0.577129999999999,0.74785715,8.333243333333336,8.508019,1.2534074986969652,87
CCC(=O)OC.O[PH](O)=S,-7.503210666666654,-7.111203,0.49266999999999844,0.21049811,8.039330999999988,8.6527405,1.2517274330724235,88
CCC(=O)OC.O=[PH](O)O,-7.519934666666658,-7.1046257,0.4696633333333318,0.17646493,8.115369333333328,8.617955,1.249900092472474,89
CP(=O)(O)O.c1cscn1,-7.462844999999985,-6.9616785,0.7649233333333318,0.57751006,7.910254666666665,8.141105,1.2479583560599667,90
COS(=O)(=O)OC.C[PH](C)=O,-7.7584609999999765,-6.8220997,0.6106116666666652,0.07512366,8.574233000000008,8.078932,1.2464091578839591,91
O=P(O)(O)C1CCNCC1,-7.451894999999983,-7.4832172,0.47624733333333213,0.44450915,8.075190000000005,8.655356,1.2439559178157844,92
FBF.O=S1(=O)CCCC1,-7.815569166666643,-7.037793,0.13384000000000004,0.41871375,8.181479666666668,8.76236,1.2436465705069901,93
COP(=O)(OC)OCB(O)O,-7.61440499999998,-7.3735423,0.1843840476190478,0.431597,8.189198666666663,8.8041525,1.24287529105679,94
B1OCCO1.CP(=O)(O)O,-7.506521666666638,-7.1722717,0.4681583333333322,-0.09765289,8.342334000000006,8.598522,1.2419280445102987,95
CCCOC(=O)CP(=O)(O)O,-7.5810649999999935,-7.9368644,0.6022757142857135,0.5547566,8.322846333333338,8.65575,1.2415847595984437,96
O=C1CC(P(=O)(O)O)CN1,-7.508703333333323,-7.378898,0.6078957142857132,0.37328586,8.079407999999995,8.549261,1.2397708331790245,97
