smiles,RF_homo,RF_lumo,RF_gap,norm_homo,norm_lumo,norm_gap,score,rank,has_B,has_P,MW
O=P(O)(O)OP(=O)(O)O.O=P([O-])(F)F,-7.697899999999975,0.8691999999999952,8.350620000000005,0.5042636786961205,0.7588286905022991,0.7967691873588914,0.6976353857030824,52,0,1,278.941
BB(O)O.O=P(O)(O)OP(=O)(O)O,-7.984379999999987,0.7616199999999961,8.168000000000015,0.7127037252619077,0.6932806902098378,0.6894163844996095,0.6975618784413675,53,1,1,235.627
F[B-](F)F.O=P(O)(O)OP(=O)(O)O,-7.946619999999972,0.7539199999999959,8.206660000000014,0.685229918509858,0.6885891155467782,0.7121425884123234,0.6970027455819202,54,1,1,245.77900000000002
BB(BOP(=O)(O)O)OP(=O)(O)O.c1ccoc1,-7.77685999999999,0.7394399999999971,8.372379999999993,0.5617142025610926,0.6797665179985836,0.8095607599698695,0.6962685201558507,55,1,1,297.507
O=P(O)(O)OP(=O)(O)O.c1ccsc1,-7.831759999999996,0.7900799999999963,8.278979999999995,0.6016589057042863,0.7106212376008351,0.7546557562076455,0.6955463454745946,56,0,1,262.11600000000004
O=P(O)(O)OP(=O)(O)O.c1ccsc1,-7.831759999999996,0.7900799999999963,8.278979999999995,0.6016589057042863,0.7106212376008351,0.7546557562076455,0.6955463454745946,57,0,1,262.11600000000004
O=P(O)(O)OP(=O)(O)O.c1ccoc1,-7.856959999999992,0.7835599999999968,8.259999999999996,0.6199941792782075,0.7066486315225043,0.7434984010533956,0.6953922036615718,58,0,1,246.04800000000003
O=P(O)(O)OP(=O)(O)O.c1ccoc1,-7.856959999999992,0.7835599999999968,8.259999999999996,0.6199941792782075,0.7066486315225043,0.7434984010533956,0.6953922036615718,59,0,1,246.04800000000003
O=P(O)(O)O.O=[PH](F)F,-7.524539999999974,1.0664799999999943,8.345080000000005,0.37812863795106555,0.8790304891423508,0.7935125094055424,0.6945527418902419,60,0,1,183.97099999999998
O=P(O)(O)OP(=O)(O)O.O=S1(=O)OCCO1,-7.8462799999999815,0.6885599999999973,8.338500000000012,0.6122235157159182,0.648765567497743,0.789644469525939,0.6941545127744739,61,0,1,302.09000000000015
O=P(O)(O)OP(=O)(O)O.O=S1(=O)OCCO1,-7.8462799999999815,0.6885599999999973,8.338500000000012,0.6122235157159182,0.648765567497743,0.789644469525939,0.6941545127744739,62,0,1,302.09000000000015
O=S1(=O)OCCO1.O[PH](O)=S,-7.862019999999982,0.7144399999999982,8.296500000000021,0.623675785797408,0.6645341327289102,0.7649548532731236,0.6924449168671449,63,0,1,222.18
BB(BOP(=O)(O)O)OP(=O)(O)O.c1ccsc1,-7.74175999999999,0.7525799999999973,8.377579999999995,0.536175785797413,0.6877726596963244,0.8126175696011719,0.69223156148859,64,1,1,313.575
CC1(C)OC(=O)O1.O=P(O)(O)OP(=O)(O)O,-7.835299999999985,0.6485799999999975,8.369139999999987,0.6042345750872826,0.6244059369744802,0.8076561324303624,0.6916546065906738,65,0,1,280.06199999999995
CC1(C)OC(=O)O1.O=P(O)(O)OP(=O)(O)O,-7.835299999999985,0.6485799999999975,8.369139999999987,0.6042345750872826,0.6244059369744802,0.8076561324303624,0.6916546065906738,66,0,1,280.06199999999995
