smiles,RF_homo,XGB_homo,RF_lumo,XGB_lumo,RF_gap,XGB_gap,score,rank
C1COCCOCCO1.CCO[PH](=O)OCC,-7.511081999999985,-6.947001,0.11370666666666647,-0.013499575,7.616526333333324,8.241616,1.0179471332166181,690
O=P(O)(O)C1CCOC1,-7.394826666666649,-7.457457,0.4634606666666659,0.5295798,7.704781666666665,7.7793074,1.0179313193168031,691
C1CCOCC1.OB(O)O,-7.7350366666666535,-7.4889083,0.14842833333333352,-0.08464878,7.970676666666655,8.487769,1.0176643480035863,692
N#CCOCCOCC#N.O=[PH](F)F,-7.639651666666653,-7.166797,0.2297736666666668,0.3968307,7.966121666666663,7.7553596,1.0173195952679013,693
FB(F)c1cccs1,-7.705128333333339,-7.450928,0.33100333333333376,0.65711397,8.126034666666664,7.5857296,1.017161966850216,694
CCOBOCC.FC(F)(F)C(F)(F)F,-7.837177333333334,-7.7012134,0.11422633333333333,0.6789662,8.021547619047595,8.123053,1.0171403228728204,695
C1CCOC1.C[PH](C)=O,-7.635834333333314,-7.082929,0.13609666666666656,0.028562047,8.002112999999996,7.9986577,1.0170384275127193,696
CCOP(=O)(OCC)OCC.CO[PH](=O)OC,-7.6154983333333215,-7.384233,0.2451933333333338,0.18439713,7.651431666666664,8.360949,1.0169549158542965,697
C[P+](C)C.c1cnccn1,-7.664485999999989,-7.3546915,0.39601333333333266,0.2712769,8.056702333333318,7.7905126,1.0166598868961954,698
CCC(=O)OC.O=[PH](Cl)Cl,-7.59910999999999,-7.209032,0.18759000000000015,0.20354505,7.878559666666652,8.016134,1.0163877342678855,699
O=[PH](F)F.c1ccncc1,-7.711973999999983,-7.2601743,0.29531999999999986,0.17955269,7.999747999999997,7.9548006,1.0163183833673024,700
O=P(Cl)(Cl)C1CCOC1,-7.5680299999999905,-7.1961865,-0.06317333333333333,0.25878593,7.715150666666652,8.29166,1.016071603712685,701
CCC(=O)OC.COBOC,-7.809853999999987,-7.8219585,0.18330600000000036,0.109454505,7.7279529999999745,8.855508,1.0158343646207064,702
COC(=P)OC,-8.04445999999998,-8.403816,0.20994000000000004,-0.0666916,8.29505199999998,9.011826,1.0156213388650652,703
C[P+](C)C.FC(F)C(F)(F)F,-7.888648999999996,-8.087369,0.3891103333333329,0.5756311,8.188066666666662,8.148223,1.0155664355254497,704
c1ccc(B(O)O)cc1,-8.05250928571424,-8.055077,0.3177414285714282,0.30000153,8.339770714285674,8.3551235,1.0155024081729471,705
OB(O)c1ccccc1,-8.05250928571424,-8.055077,0.3177414285714282,0.30000153,8.339770714285674,8.3551235,1.0155024081729471,706
B1OCCO1.O=C1OCC(F)(F)O1,-7.796539666666657,-7.705354,0.18879100000000057,0.45814106,8.037743333333315,8.180045,1.015313418985715,707
CCCOC(=O)CB(O)O,-7.851244999999987,-8.124124,0.33898238095238087,0.16893335,8.195606333333332,8.481468,1.0152969799808949,708
CCOP(=O)(OCC)c1cnccn1,-7.5919533333333264,-7.2990036,0.10613666666666628,0.82181543,7.58990433333333,7.9570475,1.0149396336659118,709
COCCP(C)C,-7.745583333333318,-7.7145133,0.21656666666666666,0.36826962,8.199316666666657,8.031652,1.0149047715171187,710
C1CCOC1.O=P(O)(O)OP(=O)(O)O,-7.642183333333303,-7.9948673,0.3729916666666659,0.10200878,7.986160619047617,8.459503,1.014825227199864,711
c1ccc(OP(=O)(O)O)cc1,-7.580572333333353,-7.8619676,0.39779666666666724,0.098833166,8.052443999999996,8.228242,1.0142506744592867,712
COC(=O)C(C)P(C)C,-7.577801666666662,-7.2787104,0.1754940000000002,0.44061345,8.06753199999999,7.6811986,1.0136854318895328,713
FB(F)c1cnccn1,-7.744585333333326,-7.9562154,0.18966238095238092,0.63079184,7.821013999999997,8.406739,1.0134986733249947,714
O=P(F)(F)C1COCCOCCO1,-7.9324293333333395,-8.014281,0.24490071428571486,0.4515943,8.190995000000003,8.314033,1.0134731711025506,715
C1CCC1.CP(=O)(O)O,-7.351654333333302,-8.668698,0.7257566666666642,0.7385856,7.880055000000001,8.100937,1.012796819999319,716
O=P(O)(O)OP(=O)(O)O.O=S1(=O)CCC1,-7.906118333333321,-8.30549,0.3817189999999989,0.12892158,8.203966333333337,8.635384,1.0127248943372908,717
COS(=O)(=O)OC.FBF,-8.007684333333307,-8.201572,0.23478333333333345,0.07232294,8.46002833333334,8.529919,1.0126668294130776,718
